Work Order ID,Description,Status,Work Group,Program,Report Date,Service Address,Completion Date,Duration (hours),Failure Class,Problem,Service Request ID,Work Order Priority,Council District,Fiscal Year,Valid Duration,Meets Standard
19-403602,Debris in Street/ S PLEASANT VALLEY RD & E RIVERSIDE DR,Closed,SBO After Hours,District Maintenance,11/03/2019 05:16:48 PM,1919 S PLEASANT VALLEY RD,11/05/2019 09:43:08 AM,40.439,Street Surface Assets,Debris in Street,CSR19-00422973,2,3,FY2020,1,1
19-403603,Debris in Street/5100 DUVAL RD,Closed,SBO After Hours,District Maintenance,11/03/2019 07:31:47 PM,5101 DUVAL RD,11/05/2019 09:41:20 AM,38.159,Street Surface Assets,Debris in Street,CSR19-00423070,4,6,FY2020,1,1
19-403604,Debris in Street/ NILE ST & N PLEASANT VALLEY RD,Closed,SBO After Hours,District Maintenance,11/03/2019 08:01:46 PM,1035 NILE ST,11/05/2019 09:37:23 AM,37.594,Street Surface Assets,Debris in Street,CSR19-00423079,2,1,FY2020,1,1
19-403629,"Tree Issue ROW/low limbs/ CAMPBELL ST & W 5TH ST,",Closed,SBO Trees,Forestry,11/04/2019 09:04:49 AM,506 CAMPBELL ST,11/04/2019 11:00:00 AM,1.92,ROW Trees,Investigate Work Request,CSR19-00423428,4,9,FY2020,1,1
19-403631,Tree Issue ROW/low limbs/1113 SAN JACINTO BLVD,Closed,SBO Trees,Forestry,11/04/2019 09:37:47 AM,1113 SAN JACINTO BLVD,12/09/2019 05:45:00 AM,836.12,ROW Trees,Investigate Work Request,CSR19-00423502,2,1,FY2020,1,0
19-403634,"Debris in Street/sofa/2010 WESTRIDGE DR,",Closed,SBO District South,District Maintenance,11/04/2019 10:10:51 AM,2010 WESTRIDGE DR,11/04/2019 05:00:00 PM,6.819,Street Surface Assets,Debris in Street,CSR19-00423589,2,5,FY2020,1,1
19-403639,"Tree Issue ROW/low limbs/9409 CEDAR CREST DR,",Closed,SBO Trees,Forestry,11/04/2019 10:31:50 AM,9409 CEDAR CREST DR,12/10/2019 07:45:00 AM,861.219,ROW Trees,Investigate Work Request,CSR19-00423641,2,6,FY2020,1,0
19-403638,Tree Issue ROW/low limbs/ 4450 VINSON DR,Closed,SBO Trees,Forestry,11/04/2019 10:46:48 AM,4507 VINSON DR,11/04/2019 12:00:00 PM,1.22,ROW Trees,Investigate Work Request,CSR19-00423679,2,3,FY2020,1,1
19-403645,Debris in Street/mattress/1600 W SLAUGHTER LN,Closed,SBO District South,District Maintenance,11/04/2019 12:01:49 PM,1702 1/2 W SLAUGHTER LN,11/04/2019 04:00:00 PM,3.97,Street Surface Assets,Debris in Street,CSR19-00423829,2,5,FY2020,1,1
19-403647,Tree Issue ROW/low limbs/2109 MELRIDGE PL,Closed,SBO Tree Sidewalk Program,Forestry,11/04/2019 12:31:50 PM,1303 AZIE MORTON RD,11/24/2019 06:00:00 AM,473.469,ROW Trees,Investigate Work Request,CSR19-00423883,2,5,FY2020,1,0
19-403648,Tree Issue ROW/low limbs/2207 RABB GLEN ST,Closed,SBO Trees,Forestry,11/04/2019 12:37:49 PM,2207 RABB GLEN ST,11/24/2019 04:30:00 AM,471.87,ROW Trees,Investigate Work Request,CSR19-00423897,2,5,FY2020,1,0
19-403650,Tree Issue ROW/low limbs/1901 RABB RD,Closed,SBO Trees,Forestry,11/04/2019 12:43:47 PM,2301 RUNDELL PL,11/24/2019 04:45:00 AM,472.02,ROW Trees,Investigate Work Request,CSR19-00423913,2,5,FY2020,1,0
19-403652,"Tree Issue ROW/low limbs/2207 DE VERNE ST,",Closed,SBO Trees,Forestry,11/04/2019 12:46:49 PM,2207 DE VERNE ST,11/24/2019 04:15:00 AM,471.47,ROW Trees,Investigate Work Request,CSR19-00423927,2,5,FY2020,1,0
19-403651,Obstruction in ROW/low limbs/1905 ARTHUR LN,Closed,SBO Trees,Forestry,11/04/2019 12:52:47 PM,1903 ARTHUR LN,12/16/2019 06:15:00 AM,1001.37,ROW Trees,Investigate Work Request,CSR19-00423937,2,5,FY2020,1,0
19-403655,Obstruction in ROW---GRASS/WEEDS---3200 TAMARRON BLVD,Closed,SBO Vegetation Management,Forestry,11/04/2019 02:01:49 PM,3212 TAMARRON BLVD,11/08/2019 12:19:22 PM,94.293,ROW Vegetation,Investigate Work Request,CSR19-00424065,2,8,FY2020,1,0
