Work Order ID,Description,Status,Work Group,Program,Report Date,Service Address,Completion Date,Duration (hours),Failure Class,Problem,Service Request ID,Work Order Priority,Council District,Fiscal Year,Valid Duration,Meets Standard
18-384486,Debris in Street - large limbs blking lane - 4100 MC NEIL DR,Closed,SBO District North,District Maintenance,10/01/2018 07:00:11 AM,4100 MC NEIL DR,10/01/2018 09:00:00 AM,1.997,Street Surface Assets,Debris in Street,CSR18-00330066,2,7,FY2019,1,1
18-384533,Street & Bridge - General - poison ivy on fence - 8403 MESA DR,Closed,SBO District North,District Maintenance,10/01/2018 08:04:53 AM,4005 1/2 CIMA SERENA,10/01/2018 10:00:00 AM,1.919,ROW Vegetation,Investigate Work Request,CSR18-00330148,2,10,FY2019,1,1
18-384604,Tree Issue ROW - DIVERTING TRAFFIC - 6802 KINGS PT,Closed,SBO Trees,Forestry,10/01/2018 09:07:43 AM,6802 KINGS PT,10/01/2018 10:15:00 AM,1.121,ROW Trees,Investigate Work Request,CSR18-00330270,4,1,FY2019,1,1
18-384665,"Tree Issue ROW - low limbs - CHINA BERRY RD & BIRCH CREEK RD,",Closed,SBO Trees,Forestry,10/01/2018 09:44:46 AM,5609 CHINA BERRY RD,10/09/2018 11:00:00 AM,193.254,ROW Trees,Investigate Work Request,CSR18-00330357,2,2,FY2019,1,0
18-384668,Tree Issue ROW - LOW LIMBS - 2516 SUNNY HILLS DR,Closed,SBO Trees,Forestry,10/01/2018 09:47:54 AM,2516 SUNNY HILLS DR,10/09/2018 11:45:00 AM,193.952,ROW Trees,Investigate Work Request,CSR18-00330366,2,2,FY2019,1,0
18-384670,Tree Issue ROW - LOW LIMBS - 6002 TURTLE DOVE DR,Closed,SBO Trees,Forestry,10/01/2018 09:50:09 AM,6002 TURTLE DOVE DR,10/09/2018 10:15:00 AM,192.414,ROW Trees,Investigate Work Request,CSR18-00330375,2,2,FY2019,1,0
18-384671,Tree Issue ROW - LOW LIMBS - 1817 BITTER CREEK DR,Closed,SBO Trees,Forestry,10/01/2018 09:51:59 AM,1817 BITTER CREEK DR,10/09/2018 11:45:00 AM,193.884,ROW Trees,Investigate Work Request,CSR18-00330379,2,2,FY2019,1,0
18-384672,"Tree Issue ROW - LOW LIMBS - LENDALL LN & DEEP LN,",Closed,SBO Trees,Forestry,10/01/2018 09:58:18 AM,4400 LENDALL LN,10/09/2018 11:30:00 AM,193.528,ROW Trees,Investigate Work Request,CSR18-00330394,2,2,FY2019,1,0
18-384704,Debris in Street/plywood/ 5600 S PLEASANT VALLEY RD,Closed,SBO District South,District Maintenance,10/01/2018 10:19:50 AM,5600 S PLEASANT VALLEY RD,10/01/2018 01:15:17 PM,2.924,Street Surface Assets,Debris in Street,CSR18-00330460,2,2,FY2019,1,1
18-384769,Tree Issue ROW - LOW LIMBS - 5011 AVENUE H,Closed,SBO Trees,Forestry,10/01/2018 11:37:06 AM,5011 AVENUE H,10/05/2018 12:30:00 PM,96.882,ROW Trees,Investigate Work Request,CSR18-00330634,4,9,FY2019,1,0
18-384832,TREE ISSUE - LOW LIMBS - 4500 E OLTORF ST,Closed,SBO Trees,Forestry,10/01/2018 12:04:17 PM,4544 E OLTORF ST,10/23/2018 11:30:00 AM,527.429,ROW Trees,Investigate Work Request,CSR18-00330698,2,3,FY2019,1,0
18-384802,Debris in Street/mattress/ LADERA VISTA DR & MIRAMONTE DR,Closed,SBO District North,District Maintenance,10/01/2018 12:04:23 PM,11303 LADERA VISTA DR,10/01/2018 01:30:00 PM,1.427,Street Surface Assets,Debris in Street,CSR18-00330699,2,10,FY2019,1,1
18-384870,Debris in Street/rocks/ BARTON HILLS DR & AZIE MORTON RD,Closed,SBO District South,District Maintenance,10/01/2018 01:01:34 PM,1123 1/2 BARTON HILLS DR,10/02/2018 08:30:14 AM,19.478,Street Surface Assets,Debris in Street,CSR18-00330825,2,5,FY2019,1,1
18-384901,Obstruction in ROW/bushes/: 6110 MESA DR,Closed,SBO Vegetation Management,Forestry,10/01/2018 01:18:33 PM,6110 MESA DR,12/10/2018 12:00:00 PM,1679.691,ROW Vegetation,Investigate Work Request,CSR18-00330871,2,10,FY2019,1,0
18-384972,Obstruction in ROW - OVERGROWN VEGETATION - 3000 CHERRYWOOD RD,Closed,SBO Vegetation Management,Forestry,10/01/2018 02:06:44 PM,3000 CHERRYWOOD RD,10/03/2018 08:51:06 AM,42.739,ROW Vegetation,Investigate Work Request,CSR18-00330977,2,9,FY2019,1,1
18-384975,"Obstruction in ROW - BUSHES ON SIDEWALK - 6204 MESA DR,",Closed,SBO Vegetation Management,Forestry,10/01/2018 02:13:24 PM,6204 MESA DR,12/10/2018 12:01:00 PM,1678.793,ROW Vegetation,Investigate Work Request,CSR18-00330990,2,10,FY2019,1,0
18-384976,Tree Issue ROW - LOW LIMBS - 5906 LONESOME VALLEY TRL,Closed,SBO Trees,Forestry,10/01/2018 02:16:15 PM,5905 LONESOME VALLEY TRL,11/13/2018 11:30:00 AM,1030.229,ROW Trees,Investigate Work Request,CSR18-00330995,2,10,FY2019,1,0
18-384977,Obstruction in ROW - OVERGROWN VEGETATION ON 15TH ST BRIDGE  - WINDSOR RD & ENFIELD RD,Closed,SBO Trees,Forestry,10/01/2018 02:18:15 PM,1101 ENFIELD RD,11/14/2018 11:15:00 AM,1053.946,ROW Trees,Investigate Work Request,CSR18-00330998,2,9,FY2019,1,0
18-384981,Obstruction in ROW - OVERGROWN VEGETATION - 5802 UPVALLEY RUN,Closed,SBO Trees,Forestry,10/01/2018 02:34:29 PM,5801 UPVALLEY RUN,12/06/2018 10:30:00 AM,1580.925,ROW Trees,Investigate Work Request,CSR18-00331025,2,10,FY2019,1,0
18-385019,"Obstruction in ROW - OVERGROWN VEGETATION - 6303 BELO HORIZONTE CIR,",Closed,SBO Trees,Forestry,10/01/2018 02:39:51 PM,6303 BELO HORIZONTE CIR,11/20/2018 07:45:00 AM,1194.086,ROW Trees,Investigate Work Request,CSR18-00331036,2,10,FY2019,1,0
18-385021,"Obstruction in ROW - OVERGROWN VEGETATION - 4202 LONESOME VALLEY CT,",Closed,SBO Trees,Forestry,10/01/2018 02:43:43 PM,4202 LONESOME VALLEY CT,10/22/2018 10:15:00 AM,499.521,ROW Trees,Investigate Work Request,CSR18-00331046,2,10,FY2019,1,0
18-385023,Tree Issue ROW - LOW LIMBS - STONLEIGH PL & QUICKSILVER BLVD,Closed,SBO Trees,Forestry,10/01/2018 02:53:57 PM,7304 1/2 STONLEIGH PL,10/02/2018 09:00:00 AM,18.101,ROW Trees,Investigate Work Request,CSR18-00331071,3,2,FY2019,1,1
18-385022,Tree Issue ROW - LOW LIMBS - 6004 LONESOME VALLEY TRL,Closed,SBO Trees,Forestry,10/01/2018 02:58:44 PM,6004 LONESOME VALLEY TRL,11/01/2018 12:00:00 PM,741.021,ROW Trees,Investigate Work Request,CSR18-00331086,2,10,FY2019,1,0
18-385024,Tree Issue ROW - LOW LIMBS - 5905 MOUNTAIN VILLA DR,Closed,SBO Trees,Forestry,10/01/2018 03:06:24 PM,5905 MOUNTAIN VILLA DR,11/19/2018 12:15:00 PM,1174.143,ROW Trees,Investigate Work Request,CSR18-00331112,2,10,FY2019,1,0
18-385059,Tree Issue ROW - LOW LIMBS DEAD ALSO - 3208 CATALINA DR,Closed,SBO Trees,Forestry,10/01/2018 03:34:33 PM,3208 CATALINA DR,10/04/2018 11:00:00 AM,67.424,ROW Trees,Investigate Work Request,CSR18-00331207,2,3,FY2019,1,1
18-385061,Tree Issue ROW - LIMB BLKING SIDEWALK - 2510 E CESAR CHAVEZ ST,Closed,SBO District North,District Maintenance,10/01/2018 03:34:48 PM,2510 E CESAR CHAVEZ ST,10/01/2018 05:30:00 PM,1.92,ROW Trees,Broken or Hanging Branch,CSR18-00331208,2,3,FY2019,1,1
18-385057,Tree Issue ROW - low limbs ALSO CHECK 5913 - 5911 MOUNTAIN VILLA DR,Closed,SBO Trees,Forestry,10/01/2018 03:36:15 PM,5911 MOUNTAIN VILLA DR,11/19/2018 12:00:00 PM,1173.396,ROW Trees,Investigate Work Request,CSR18-00331215,2,10,FY2019,1,0
18-385092,Tree Issue ROW - LOW LIMBS - 5910 LONESOME VALLEY TRL,Closed,SBO Trees,Forestry,10/01/2018 03:38:38 PM,5910 LONESOME VALLEY TRL,11/13/2018 11:45:00 AM,1029.106,ROW Trees,Investigate Work Request,CSR18-00331225,2,10,FY2019,1,0
18-385093,Obstruction in ROW - OVERGROWN VEGETATION - 5805 UPVALLEY RUN,Closed,SBO Trees,Forestry,10/01/2018 03:41:47 PM,5805 UPVALLEY RUN,12/06/2018 10:45:00 AM,1580.054,ROW Trees,Investigate Work Request,CSR18-00331237,2,10,FY2019,1,0
18-385094,Tree Issue ROW - LOW LIMBS - 5900 LONESOME VALLEY TRL,Closed,SBO Trees,Forestry,10/01/2018 03:41:59 PM,5900 LONESOME VALLEY TRL,11/01/2018 11:15:00 AM,739.55,ROW Trees,Investigate Work Request,CSR18-00331239,2,10,FY2019,1,0
18-385095,Tree Issue ROW - LOW LIMBS - 6302 MESA DR,Closed,SBO Trees,Forestry,10/01/2018 03:47:49 PM,6302 MESA DR,11/19/2018 11:30:00 AM,1172.703,ROW Trees,Investigate Work Request,CSR18-00331255,2,10,FY2019,1,0
18-385124,Tree Issue ROW - low limbs - 6100 LEDGE MOUNTAIN DR,Closed,SBO Trees,Forestry,10/01/2018 04:26:33 PM,6100 LEDGE MOUNTAIN DR,11/19/2018 11:15:00 AM,1171.808,ROW Trees,Investigate Work Request,CSR18-00331357,2,10,FY2019,1,0
18-386006,"Tree Issue ROW - SAID LOW LIMBS LOOK AT PICTURE - 6000 LONESOME VALLEY TRL,",Closed,SBO Trees,Forestry,10/01/2018 05:08:14 PM,6000 LONESOME VALLEY TRL,11/01/2018 12:00:00 PM,738.863,ROW Trees,Investigate Work Request,CSR18-00331461,2,10,FY2019,1,0
18-385186,Debris in Street/ 4601 PECAN BROOK DR,Closed,SBO District Central,District Maintenance,10/01/2018 05:41:18 PM,4601 PECAN BROOK DR,10/01/2018 06:45:00 PM,1.062,Street Surface Assets,Debris in Street,CSR18-00331507,4,1,FY2019,1,1
18-386008,Tree Issue ROW/  LOW LIMBS - W 11TH ST & NUECES ST,Closed,SBO Trees,Forestry,10/01/2018 05:57:37 PM,1101 NUECES ST,10/10/2018 11:15:00 AM,209.29,ROW Trees,Investigate Work Request,CSR18-00331538,2,9,FY2019,1,0
18-385946,"Debris in Street,3740 Steck Ave, Dead Deer","Work complete, Ready for QA (Quality Assurance)",SBO Downtown Maintenance,District Maintenance,10/02/2018 04:48:41 AM,3740 STECK AVE,10/03/2018 05:11:45 AM,24.384,Street Surface Assets,Debris in Street,CSR18-00331817,4,10,FY2019,1,1
18-386137,Debris in Street - MATTRESS - DORSETT RD & HAWKHAVEN LN,Closed,SBO District North,District Maintenance,10/02/2018 07:42:06 AM,12425 DORSETT RD,10/02/2018 11:00:00 AM,3.298,Street Surface Assets,Debris in Street,CSR18-00331887,2,7,FY2019,1,1
18-386138,Obstruction in ROW - OVERGROWN VEGETATION - 1000 MONTOPOLIS DR,Closed,SBO Vegetation Management,Forestry,10/02/2018 07:54:42 AM,1007 MONTOPOLIS DR,10/09/2018 08:18:37 AM,168.399,ROW Vegetation,Investigate Work Request,CSR18-00331902,2,3,FY2019,1,0
18-386171,"Obstruction in ROW - overgrown vegetation - COLTON BLUFF SPRINGS RD & ALUM ROCK DR,",Closed,SBO Vegetation Management,Forestry,10/02/2018 08:20:18 AM,8112 1/2 ALUM ROCK DR,12/07/2018 09:15:00 AM,1585.912,ROW Vegetation,Investigate Work Request,CSR18-00331948,2,2,FY2019,1,0
18-386172,"Debris in Street - ROCKS DEBRIS - BANISTER LN & GARDEN VILLA LN,",Closed,SBO District South,District Maintenance,10/02/2018 08:22:16 AM,852 BANISTER LN,10/02/2018 10:09:50 AM,1.793,Street Surface Assets,Debris in Street,CSR18-00331953,2,3,FY2019,1,1
18-386176,Tree Issue ROW - LOW LIMBS - 4800 MANOR RD,Closed,SBO Trees,Forestry,10/02/2018 08:35:03 AM,4800 MANOR RD,10/10/2018 10:00:00 AM,193.416,ROW Trees,Investigate Work Request,CSR18-00331974,4,9,FY2019,1,0
18-386175,"Obstruction in ROW/bamboo/: 4800 MANOR RD,",Closed,SBO Vegetation Management,Forestry,10/02/2018 08:35:13 AM,4800 MANOR RD,01/23/2020 05:05:22 AM,11469.503,ROW Vegetation,Investigate Work Request,CSR18-00331975,2,9,FY2019,1,0
18-386309,Tree Issue ROW - DIVERTING TRAFFIC - 1710 SYLVAN DR,Closed,SBO Trees,Forestry,10/02/2018 10:21:29 AM,1712 WOODLAND AVE,10/23/2018 12:00:00 PM,505.642,ROW Trees,Investigate Work Request,CSR18-00332196,2,9,FY2019,1,0
18-386311,Tree Issue ROW - TREE LOOKS PRIVATE - 1103 W MARY ST,Closed,SBO Trees,Forestry,10/02/2018 10:40:07 AM,1103 W MARY ST,10/02/2018 02:15:00 PM,3.581,ROW Trees,Investigate Work Request,CSR18-00332244,2,9,FY2019,1,1
18-386377,"Debris in Street/limbs/ 809 LIMON LN,",Closed,SBO District South,District Maintenance,10/02/2018 11:37:47 AM,809 LIMON LN,10/02/2018 02:22:10 PM,2.74,Street Surface Assets,Debris in Street,CSR18-00332364,4,3,FY2019,1,1
18-386444,"Tree Issue ROW/low limbs/5800 REPUBLIC OF TEXAS BLVD,",Closed,SBO Trees,Forestry,10/02/2018 12:23:03 PM,5800 REPUBLIC OF TEXAS BLVD,10/09/2018 01:15:00 PM,168.866,ROW Trees,Investigate Work Request,CSR18-00332466,2,8,FY2019,1,0
18-386520,"Debris in Street - two bags of concrete - W 15TH ST & GUADALUPE ST,",Closed,SBO District Central,District Maintenance,10/02/2018 01:29:21 PM,1509 GUADALUPE ST,10/02/2018 02:30:00 PM,1.011,Street Surface Assets,Debris in Street,CSR18-00332609,2,9,FY2019,1,1
18-386615,Debris in Street/recliners/ 12706 LAMPPOST LN,Closed,SBO District North,District Maintenance,10/02/2018 02:08:49 PM,12706 LAMPPOST LN,10/02/2018 03:45:00 PM,1.603,Street Surface Assets,Obstruction,CSR18-00332692,2,7,FY2019,1,1
18-386583,"Debris in Street/refrigerator/7217 SCENIC BROOK DR,",Closed,SBO District North,District Maintenance,10/02/2018 02:33:22 PM,7217 SCENIC BROOK DR,10/02/2018 05:45:00 PM,3.194,Street Surface Assets,Debris in Street,CSR18-00332734,2,8,FY2019,1,1
18-386714,Tree Issue ROW - low limbs - 506 CAMPBELL ST,Closed,SBO Trees,Forestry,10/02/2018 04:26:41 PM,1717 W 6TH ST,10/22/2018 10:00:00 AM,473.555,ROW Trees,Investigate Work Request,CSR18-00332997,3,9,FY2019,1,0
18-386744,Tree Issue ROW/ 4600 Raintree Blvd.,Closed,SBO District North,District Maintenance,10/02/2018 04:36:56 PM,4600 RAINTREE BLVD,10/02/2018 06:45:00 PM,2.134,ROW Trees,Investigate Work Request,CSR18-00333014,2,3,FY2019,1,1
18-386743,Tree Issue ROW/ 4507 Frankin Park Dr.,Closed,SBO District North,District Maintenance,10/02/2018 04:40:16 PM,4507 FRANKLIN PARK DR,10/02/2018 07:15:00 PM,2.579,ROW Trees,Investigate Work Request,CSR18-00333023,2,2,FY2019,1,1
18-387549,"Tree Issue ROW/low limbs/ 211 SAN ANTONIO ST,",Closed,SBO Trees,Forestry,10/02/2018 06:16:07 PM,211 SAN ANTONIO ST,10/22/2018 10:15:00 AM,471.981,ROW Trees,Investigate Work Request,CSR18-00333161,2,9,FY2019,1,0
18-386976,Debris in Street / 5601 Signal Piont,Closed,SBO District North,District Maintenance,10/02/2018 08:55:10 PM,5601 SIGNAL PT,10/02/2018 10:30:00 PM,1.581,Street Surface Assets,Debris in Street,CSR18-00333301,2,1,FY2019,1,1
18-387579,Tree Issue ROW/low limbs/1600 MEARNS MEADOW BLVD,Closed,SBO Trees,Forestry,10/02/2018 10:10:32 PM,1511 CRIPPLE CREEK DR,10/03/2018 11:30:00 AM,13.324,ROW Trees,Investigate Work Request,CSR18-00333334,4,4,FY2019,1,1
18-387578,DOVE SPRINGS 2100 DEBRIS IN ROAD,Closed,SBO District South,District Maintenance,10/02/2018 10:42:12 PM,2106 DOVE SPRINGS DR,10/03/2018 10:06:04 AM,11.398,Street Surface Assets,Debris in Street,CSR18-00333351,2,2,FY2019,1,1
18-387646,Obstruction in ROW/high grass/TILLERY ST & GONZALES ST,Closed,SBO Vegetation Management,Forestry,10/03/2018 07:46:19 AM,3213 GONZALES ST,10/03/2018 10:44:01 AM,2.962,ROW Vegetation,Investigate Work Request,CSR18-00333444,2,3,FY2019,1,1
18-387653,"Tree Issue ROW/low limbs/4520 CASWELL AVE,",Closed,SBO Trees,Forestry,10/03/2018 08:06:33 AM,4520 CASWELL AVE,10/03/2018 12:15:00 PM,4.141,ROW Trees,Investigate Work Request,CSR18-00333471,4,9,FY2019,1,1
18-387715,"Tree Issue ROW/low limbs/3000 WHITIS AVE,",Closed,SBO Trees,Forestry,10/03/2018 08:33:46 AM,3000 WHITIS AVE,10/04/2018 11:30:00 AM,26.937,ROW Trees,Investigate Work Request,CSR18-00333520,4,9,FY2019,1,1
18-387747,"Obstruction in ROW/high grass/609 ELDERBERRY CV,",Closed,SBO Vegetation Management,Forestry,10/03/2018 09:13:52 AM,609 ELDERBERRY CV,10/03/2018 10:30:27 AM,1.276,ROW Vegetation,Investigate Work Request,CSR18-00333607,2,2,FY2019,1,1
18-387754,"Tree Issue ROW/limbs/1809 W RUNDBERG LN,",Closed,SBO Trees,Forestry,10/03/2018 09:38:39 AM,1809 W RUNDBERG LN,10/09/2018 11:45:00 AM,146.106,ROW Trees,Investigate Work Request,CSR18-00333646,2,4,FY2019,1,0
18-387821,"Tree Issue ROW/limb/ S LAKELINE BLVD & RIDGELINE BLVD,",Closed,SBO Trees,Forestry,10/03/2018 10:04:53 AM,2800 S LAKELINE BLVD,12/04/2018 12:00:00 AM,1478.919,ROW Trees,Investigate Work Request,CSR18-00333695,2,6,FY2019,1,0
18-387820,"Obstruction in ROW/mattress/7329 BURNET RD,",Closed,SBO District North,District Maintenance,10/03/2018 10:05:02 AM,7329 BURNET RD,10/03/2018 12:00:00 PM,1.916,Street Surface Assets,Debris in Street,CSR18-00333696,2,7,FY2019,1,1
18-387790,Debris in Street/limbs/E GRADY DR & MIDDLE FISKVILLE RD,Closed,SBO District North,District Maintenance,10/03/2018 10:08:48 AM,506 E GRADY DR,10/03/2018 01:30:00 PM,3.353,Street Surface Assets,Debris in Street,CSR18-00333707,4,1,FY2019,1,1
18-387867,Debris in Street/Pallet/Barton Springs & Bouldin Ave,Closed,SBO District South,District Maintenance,10/03/2018 11:03:29 AM,801 BARTON SPRINGS RD,10/03/2018 11:45:32 AM,0.701,Street Surface Assets,Debris in Street,CSR18-00333845,2,9,FY2019,1,1
18-387933,"Obstruction in ROW/high grass/W WILLIAM CANNON DR & S 1ST ST,",Closed,SBO Vegetation Management,Forestry,10/03/2018 11:49:50 AM,6701 S 1ST ST,10/10/2018 01:14:03 PM,169.404,ROW Vegetation,Investigate Work Request,CSR18-00333948,2,2,FY2019,1,0
18-387936,"Debris in Street/rocks/5100 FAIRVIEW DR,",Closed,SBO District Central,District Maintenance,10/03/2018 12:07:50 PM,5100 FAIRVIEW DR,10/03/2018 12:45:00 PM,0.619,Street Surface Assets,Debris in Street,CSR18-00333977,4,10,FY2019,1,1
18-387970,"Tree Issue ROW/fallen tree/E 38TH ST & DUVAL ST,",Closed,SBO Trees,Forestry,10/03/2018 12:13:06 PM,409 E 38TH ST,11/08/2018 12:00:00 AM,852.782,ROW Trees,Investigate Work Request,CSR18-00333988,3,9,FY2019,1,0
18-388035,Tree Issue ROW/Low Limb/6315 Shadow Bend,Closed,SBO Trees,Forestry,10/03/2018 01:15:07 PM,6315 SHADOW BND,10/15/2018 01:15:00 PM,287.998,ROW Trees,Investigate Work Request,CSR18-00334112,2,2,FY2019,1,0
18-388041,Debris in Street/sofa/2305 Donley Dr,Closed,SBO District North,District Maintenance,10/03/2018 01:26:33 PM,2305 DONLEY DR,10/04/2018 10:00:00 AM,20.558,Street Surface Assets,Debris in Street,CSR18-00334135,2,4,FY2019,1,1
18-388046,Obstruction in ROW/plants/5900 DOONE VALLEY CT,Closed,SBO Trees,Forestry,10/03/2018 01:36:15 PM,5900 DOONE VALLEY CT,10/23/2018 10:15:00 AM,476.646,ROW Trees,Investigate Work Request,CSR18-00334154,2,10,FY2019,1,0
18-388076,"Obstruction in ROW/low limbs/BERGER ST & SARA DR,",Closed,SBO Trees,Forestry,10/03/2018 01:45:19 PM,4912 SARA DR,10/11/2018 02:00:00 PM,192.245,ROW Trees,Investigate Work Request,CSR18-00334171,2,3,FY2019,1,0
18-388108,Debris in Street/ 707 W ANDERSON LN EB,Closed,SBO District North,District Maintenance,10/03/2018 02:02:57 PM,707 1/2 W ANDERSON LN EB,10/03/2018 03:15:00 PM,1.201,Street Surface Assets,Debris in Street,CSR18-00334191,4,4,FY2019,1,1
18-388140,Tree Issue ROW/Low Limbs/2216 Zach Scott,Closed,SBO Trees,Forestry,10/03/2018 02:43:48 PM,2216 ZACH SCOTT ST,10/04/2018 11:45:00 AM,21.02,ROW Trees,Broken or Hanging Branch,CSR18-00334253,2,9,FY2019,1,1
18-388145,Obstruction in ROW/furniture/1002 BYERS LN,Closed,SBO District North,District Maintenance,10/03/2018 02:52:28 PM,1002 BYERS LN,10/03/2018 04:45:00 PM,1.876,Street Surface Assets,Obstruction,CSR18-00334268,2,1,FY2019,1,1
18-388144,"Tree Issue ROW/low limbs/11001 POINT CLEAR CT,",Closed,SBO Trees,Forestry,10/03/2018 03:08:41 PM,11001 POINT CLEAR CT,10/04/2018 12:15:00 PM,21.105,ROW Trees,Investigate Work Request,CSR18-00334294,2,5,FY2019,1,1
18-388143,"Tree Issue ROW/low limb/: 11001 CORAL GABLES CT,",Closed,SBO Trees,Forestry,10/03/2018 03:10:43 PM,11001 CORAL GABLES CT,11/08/2018 02:30:00 PM,864.321,ROW Trees,Investigate Work Request,CSR18-00334296,2,5,FY2019,1,0
18-388176,Obstruction in ROW/Tall Grass/Davis Lane,Closed,SBO Vegetation Management,Forestry,10/03/2018 03:26:42 PM,3409 DAVIS LN,11/13/2018 07:36:33 AM,977.164,ROW Vegetation,Investigate Work Request,CSR18-00334327,2,8,FY2019,1,0
18-388269,Debris in Street / 8565 Spicewood Springs Rd.,Closed,SBO District North,District Maintenance,10/03/2018 04:47:10 PM,8565 SPICEWOOD SPRINGS RD,10/03/2018 06:15:00 PM,1.464,Street Surface Assets,Debris in Street,CSR18-00334470,2,6,FY2019,1,1
18-388418,Obstruction in ROW/ TREE NEAR SIDEWALK/ 3801 AVENUE H,Closed,SBO Trees,Forestry,10/03/2018 05:19:00 PM,3801 AVENUE H,10/04/2018 10:47:11 AM,17.47,ROW Trees,Investigate Work Request,CSR18-00334525,2,9,FY2019,1,1
18-388383,Debris in Street / 400 E. 32nd St,Closed,SBO District North,District Maintenance,10/03/2018 05:23:20 PM,405 E 32ND ST,10/03/2018 06:45:00 PM,1.361,Street Surface Assets,Debris in Street,CSR18-00334529,2,9,FY2019,1,1
18-388412,Debris in Street / 7107 Cannon League Dr.,Closed,SBO District North,District Maintenance,10/03/2018 05:38:52 PM,7101 CANNONLEAGUE DR,10/03/2018 08:00:00 PM,2.352,Street Surface Assets,Debris in Street,CSR18-00334549,2,5,FY2019,1,1
18-388413,Debris in Street / 5608 N. lamar Blvd.,Closed,SBO District North,District Maintenance,10/03/2018 06:09:29 PM,5610 N LAMAR BLVD,10/03/2018 07:00:00 PM,0.842,Street Surface Assets,Debris in Street,CSR18-00334596,2,4,FY2019,1,1
18-388420,Tree Issue ROW/ DEAD TREE IN MEDIAN/ HYRIDGE DR & ADIRONDACK TRL,Closed,SBO District North,District Maintenance,10/03/2018 06:50:41 PM,8300 ADIRONDACK TRL,10/04/2018 09:00:00 AM,14.155,ROW Trees,Broken or Hanging Branch,CSR18-00334644,4,10,FY2019,1,1
18-388450,Tree Issue ROW/ 11711 THREE OAKS TRL,Closed,SBO Trees,Forestry,10/03/2018 07:11:42 PM,11805 OAK KNOLL DR,11/08/2018 12:00:00 AM,845.805,ROW Trees,Investigate Work Request,CSR18-00334668,2,10,FY2019,1,0
18-388419,Debris in Street / 624 Pedernales St.,Closed,SBO District North,District Maintenance,10/03/2018 07:39:43 PM,624 PEDERNALES ST,10/03/2018 09:00:00 PM,1.338,Street Surface Assets,Debris in Street,CSR18-00334690,2,3,FY2019,1,1
18-389048,"Obstruction in ROW,2818 Kramer Ln,Dumpster in ROW","Work complete, Ready for QA (Quality Assurance)",SBO Downtown Maintenance,District Maintenance,10/03/2018 10:32:59 PM,2818 KRAMER LN,10/13/2018 05:52:07 AM,223.319,Street Surface Assets,Obstruction,CSR18-00334768,2,7,FY2019,1,0
18-389019,"Debris in Street, 7804 Watson St, Load of gravel in ROW",Closed,SBO Downtown Maintenance,District Maintenance,10/03/2018 10:38:25 PM,7804 WATSON ST,02/18/2019 01:29:19 AM,3291.848,Street Surface Assets,Debris in Street,CSR18-00334770,2,7,FY2019,1,0
18-389138,"Tree Issue ROW/low limb/ 1616 CANTERBURY ST,",Closed,SBO Trees,Forestry,10/04/2018 07:36:10 AM,1616 CANTERBURY ST,10/15/2018 11:15:00 AM,267.647,ROW Trees,Investigate Work Request,CSR18-00334863,2,3,FY2019,1,0
18-389169,"Tree Issue ROW/low limbs/512 BOULDIN AVE,",Closed,SBO Trees,Forestry,10/04/2018 08:01:13 AM,512 BOULDIN AVE,10/15/2018 12:30:00 PM,268.48,ROW Trees,Investigate Work Request,CSR18-00334888,2,9,FY2019,1,0
18-389200,"Obstruction in ROW/high grass/ 1701 ALEGRIA RD,",Closed,SBO Trees,Forestry,10/04/2018 08:17:48 AM,1700 ROMERIA DR,11/15/2018 12:00:00 AM,1000.703,ROW Trees,Investigate Work Request,CSR18-00334910,2,7,FY2019,1,0
18-389261,"Street & Bridge - General/limb/ 8701 HONEYSUCKLE TRL,",Closed,SBO District North,District Maintenance,10/04/2018 09:32:48 AM,8701 HONEYSUCKLE TRL,10/04/2018 11:30:00 AM,1.953,Street Surface Assets,Debris in Street,CSR18-00335014,2,10,FY2019,1,1
18-389291,Obstruction in ROW/bushes/RADCLIFF DR & CAMERON RD,Closed,SBO Trees,Forestry,10/04/2018 10:10:18 AM,7215 CAMERON RD,01/21/2019 12:00:00 AM,2606.828,ROW Trees,Investigate Work Request,CSR18-00335073,2,4,FY2019,1,0
18-389320,"Tree Issue ROW/broken limb/1900 PEARL ST,",Closed,SBO Trees,Forestry,10/04/2018 10:19:01 AM,1900 PEARL ST,10/04/2018 09:15:00 AM,-1.067,ROW Trees,Investigate Work Request,CSR18-00335093,4,9,FY2019,0,-1
18-389322,Tree Issue ROW/Broken/1010 Willow St,Closed,SBO Trees,Forestry,10/04/2018 10:22:34 AM,1010 WILLOW ST,10/04/2018 11:00:00 AM,0.624,ROW Trees,Investigate Work Request,CSR18-00335100,5,3,FY2019,1,1
18-389415,Tree Issue ROW/2800 Twin Oaks Dr,Closed,SBO Trees,Forestry,10/04/2018 11:26:15 AM,2801 TWIN OAKS DR,11/08/2018 12:00:00 AM,829.562,ROW Trees,Investigate Work Request,CSR18-00335221,3,7,FY2019,1,0
18-389552,"Tree Issue ROW/low limb/ 3001 S 1ST ST,",Closed,SBO Trees,Forestry,10/04/2018 01:17:13 PM,3001 S 1ST ST,10/15/2018 12:45:00 PM,263.463,ROW Trees,Investigate Work Request,CSR18-00335390,2,3,FY2019,1,0
